cardiac cycle [%],t abs [s],t [s],LVP [mmHg],ECG [mV],LAD Flow [ml/s],AoP [mmHg],rad strain,circ strain,long strain,tissue vol ischemic [ml],tissue vol border [ml],tissue vol remote [ml],Unnamed: 13
0.29906527963387763,0.15866400000000003,0.418972,65.245,0.581,20.69,71.125,0.0618876179595965,-0.0845752446862739,-0.065672070969321,1.050526,1.092472,0.88198,
0.3037379390160462,0.16114300000000004,0.421451,65.885,0.596,20.197,71.762,0.0631243716826725,-0.0868023743859224,-0.0668176544969467,1.048738,1.091899,0.881697,
0.3084105983982146,0.163622,0.42393,65.885,0.599,20.197,71.762,0.0652488312070668,-0.0888911135770294,-0.0678356356834889,1.046238,1.092219,0.881542,
0.3130851426772699,0.16610200000000003,0.42641,68.443,0.613,19.705,72.399,0.0676717782941444,-0.091117071644133,-0.0687991101633404,1.044376,1.092628,0.880566,
0.3177578020594384,0.16858100000000004,0.428889,66.951,0.631,19.705,71.974,0.0699781854120116,-0.0928896386364926,-0.0697401014323458,1.044357,1.091573,0.880183,
0.3224304614416068,0.17106,0.431368,66.738,0.624,19.705,71.549,0.0721944080756132,-0.0949446709912916,-0.0702931053503465,1.042515,1.092503,0.879504,
0.3271031208237753,0.173539,0.433847,66.738,0.599,19.705,70.913,0.0745916633946774,-0.097217868726451,-0.0708719565463703,1.040208,1.094042,0.8798,
0.33177578020594384,0.176018,0.436326,66.738,0.588,19.705,71.125,0.0769590150026782,-0.099360699072105,-0.0717652628581725,1.039685,1.093553,0.879066,
0.3364484395881123,0.17849700000000002,0.438805,67.164,0.599,19.212,71.125,0.0791053184624516,-0.101355004219399,-0.0726233913872642,1.037156,1.093606,0.87805,
0.34112109897028087,0.18097600000000003,0.441284,66.951,0.603,19.212,71.125,0.081342198073793,-0.103422419151602,-0.0735066033480377,1.035834,1.094143,0.878942,
0.34579375835244935,0.18345500000000003,0.443763,67.377,0.61,19.212,71.762,0.0833950546207983,-0.105108014019328,-0.0744664068040859,1.035181,1.094114,0.879299,
0.3504683026315046,0.18593500000000002,0.446243,66.098,0.599,19.212,70.913,0.0854090579380608,-0.106722309788827,-0.0752006121719508,1.033726,1.093329,0.878697,
0.35514096201367307,0.18841400000000003,0.448722,65.672,0.578,18.72,70.7,0.0874708297526057,-0.108574850168831,-0.0759691126854814,1.032827,1.09321,0.877437,
0.3598136213958416,0.19089300000000003,0.451201,63.113,0.567,18.72,69.639,0.08921282135247,-0.11029447755603,-0.0766783493752035,1.031277,1.093289,0.877917,
0.3644862807780101,0.19337200000000004,0.45368,63.966,0.556,18.72,70.063,0.090782392262978,-0.111950101859685,-0.0772399826662037,1.029183,1.092828,0.878396,
0.36915894016017853,0.195851,0.456159,63.753,0.571,18.72,70.276,0.0927308175555315,-0.113662933120983,-0.0776292309803189,1.028808,1.092685,0.877481,
0.373831599542347,0.19833,0.458638,63.539,0.578,18.227,70.7,0.0947130991357524,-0.115416941865731,-0.0777463280915648,1.026064,1.092571,0.877286,
0.37850425892451556,0.20080900000000002,0.461117,63.113,0.592,18.227,70.276,0.0965319694959078,-0.117047196464421,-0.078007253514155,1.024591,1.092275,0.877438,
0.38317691830668404,0.20328800000000002,0.463596,62.473,0.574,18.227,69.851,0.0981719382386651,-0.118819483091542,-0.0782462315968329,1.02333,1.091644,0.877257,
0.3878514625857392,0.205768,0.466076,62.047,0.574,18.227,69.639,0.0996930344027477,-0.120631015197985,-0.0784628540462384,1.022677,1.09103,0.876949,
0.39252412196790776,0.20824700000000002,0.468555,60.768,0.567,17.734,68.789,0.101715434914966,-0.122412477335231,-0.0785437093637469,1.022791,1.090083,0.875808,
0.39719678135007624,0.21072600000000002,0.471034,61.834,0.592,17.734,69.002,0.103526937131302,-0.123888703051132,-0.0789363560761112,1.02155,1.090514,0.875136,
0.4018694407322448,0.21320500000000003,0.473513,61.834,0.603,17.734,69.002,0.105119452307727,-0.125282263278564,-0.0791468616445034,1.021317,1.090521,0.874025,
0.4065421001144133,0.21568400000000004,0.475992,63.113,0.628,17.734,69.639,0.106290363430264,-0.126529284911061,-0.079864416794713,1.019891,1.091306,0.874055,
0.4112147594965817,0.218163,0.478471,62.26,0.635,17.734,69.002,0.107858010296992,-0.127603472394189,-0.0807589101903299,1.019299,1.091381,0.873915,
0.41588741887875025,0.220642,0.48095,61.62,0.631,17.734,68.152,0.109097338697561,-0.128772969073639,-0.0818426591785201,1.017527,1.091802,0.874158,
0.42056007826091873,0.223121,0.483429,61.194,0.621,17.734,67.728,0.110572431490493,-0.130027021034439,-0.0825037682444053,1.017232,1.091886,0.874412,
0.4252346225399739,0.225601,0.485909,61.194,0.624,17.242,67.091,0.112030843995302,-0.131476010035337,-0.0832293952760722,1.015802,1.092052,0.873939,
0.42990728192214245,0.22808,0.488388,61.407,0.642,17.242,67.303,0.11342678199152,-0.132793278795591,-0.0838278703550375,1.014576,1.093059,0.873831,
0.43457994130431093,0.23055900000000001,0.490867,60.981,0.66,17.242,67.091,0.114391689560246,-0.133895998140822,-0.0847323063368534,1.012513,1.093405,0.873421,
0.4392526006864795,0.23303800000000002,0.493346,62.26,0.678,17.242,67.303,0.116084685482647,-0.134940911146197,-0.0855529868393828,1.01183,1.092586,0.87304,
0.44392526006864796,0.23551700000000003,0.495825,60.128,0.674,16.749,66.454,0.117313834104903,-0.135927731305559,-0.086175852537719,1.008221,1.09262,0.873098,
0.4485979194508165,0.23799600000000004,0.498304,59.488,0.671,16.749,65.817,0.118592321841372,-0.136656461500774,-0.0865583117149533,1.009969,1.092464,0.872569,
0.4532705788329849,0.240475,0.500783,58.209,0.667,16.749,64.543,0.120035915508826,-0.13726156055282,-0.0869132497768024,1.008726,1.092196,0.873144,
0.4579432382151534,0.242954,0.503262,57.783,0.667,16.256,64.331,0.1216492297119,-0.137924082286503,-0.0871563231802418,1.00901,1.091388,0.872602,
0.4626177824942087,0.24543400000000004,0.505742,57.356,0.692,16.256,64.118,0.12301456993075,-0.138457552997565,-0.087212763480099,1.009274,1.091536,0.872356,
0.4672904418763772,0.24791300000000005,0.508221,56.503,0.703,16.256,63.482,0.124305431481511,-0.138923821874478,-0.0878775908967452,1.00894,1.091336,0.872588,
0.47196310125854574,0.25039200000000006,0.5107,55.437,0.713,15.764,63.269,0.125547887462949,-0.139494344292686,-0.0887487157027715,1.008586,1.091557,0.872987,
0.4766357606407142,0.25287100000000007,0.513179,53.305,0.703,15.764,61.995,0.126870091610731,-0.140146449198949,-0.0892403960184997,1.009047,1.092006,0.873456,
0.48130842002288254,0.25534999999999997,0.515658,51.812,0.706,15.764,60.721,0.128211646177977,-0.140777246669375,-0.0893959071087838,1.009299,1.092266,0.873991,
0.4859810794050511,0.257829,0.518137,47.974,0.692,15.271,59.023,0.129492573219242,-0.141445825319392,-0.0897664756983483,1.009316,1.092579,0.875079,
0.4906537387872196,0.260308,0.520616,47.761,0.699,14.779,58.174,0.131456406534377,-0.141651961789283,-0.0903673463782844,1.010534,1.092305,0.876795,
0.4953263981693881,0.262787,0.523095,46.055,0.717,14.779,56.9,0.133314777179099,-0.141467090076792,-0.0912887102131068,1.010102,1.092653,0.87572,
0.5000009424484434,0.26526700000000003,0.525575,44.35,0.724,14.286,56.051,0.13567913781353,-0.140992265558594,-0.0923063894764911,1.010819,1.092071,0.876881,
0.5046736018306119,0.26774600000000004,0.528054,42.217,0.728,14.286,53.927,0.137428844613359,-0.140787541854115,-0.0932936658599971,1.011154,1.092183,0.87786,
0.5093462612127804,0.27022500000000005,0.530533,39.872,0.713,13.793,52.017,0.138871280946063,-0.140593814497462,-0.0941978395718842,1.012474,1.091421,0.877985,
0.5140189205949489,0.27270400000000006,0.533012,37.74,0.706,13.301,50.318,0.140442772303374,-0.140192863771803,-0.0955352180570327,1.011843,1.090602,0.877789,
0.5186915799771175,0.27518300000000007,0.535491,35.394,0.696,12.808,47.983,0.141972153177658,-0.139437863874713,-0.0967442422014727,1.013889,1.090398,0.877552,3.566542314248993
0.5233642393592858,0.27766199999999996,0.53797,34.115,0.71,12.316,47.77,0.143346701018849,-0.138562861908963,-0.0988202392461275,1.014955,1.08881,0.877223,3.529737170267387
0.5280368987414543,0.280141,0.540449,31.983,0.717,11.33,48.832,0.144779365384456,-0.13735600750517,-0.100305317958098,1.015797,1.089447,0.878959,3.465204511636448
0.5327095581236228,0.28262,0.542928,32.623,0.728,10.838,55.201,0.144234563375331,-0.136721825702449,-0.102606143427892,1.016251,1.089601,0.878279,3.485017561081779
0.5373841024026781,0.2851,0.545408,29.211,0.717,9.853,57.324,0.144134905330688,-0.136093910300575,-0.104677824412973,1.015443,1.08973,0.878572,3.3745453506647287
0.5420567617848466,0.28757900000000003,0.547887,27.079,0.706,8.867,59.023,0.145227207132797,-0.135640139426852,-0.106063552183705,1.016482,1.089078,0.877298,3.2987585197403715
